,Year 5,Year 4,Year 3,Year 2,Year 1
EBITDA/ Assets,0.08638693,0.06570921,0.02031768,0.03355813,0.08182607
Total debt/ EBITDA,5.5654909,7.01115138,21.96581858,12.6369936,4.75753076
WC/ Asset,0.08293223,0.06340105,0.03264005,-0.00379228,-0.03018573
Price to book ratio,1.34805707,1.55280956,1.52525927,1.26881993,1.2369517
real GDP growth,0.03513208,0.03798898,0.02861203,0.01741697,0.00998347
Inflation,0.03392747,0.02677237,0.02270095,0.01586032,0.02826171
Unemployment,0.05066667,0.05533333,0.05991667,0.05775,0.04733333
10-year risk free,0.0429,0.04274167,0.04015,0.04610833,0.050175
YoY % in stock price,-0.3246878,1.17327766,-0.44107351,0.58118081,-0.7021978
market cap based on Jun's data,345.3895,504.3041,227.923,402.4686,209.0039
90-days stock vol,0.38842,0.47452,0.50269,0.73273,0.91828
Trading volume,786.2586029,1280.249834,1039.015239,2310.556937,921.1911295
Total asset,465.686,415.294,483.774,473.609,395.225
Diluted EPS,0,0,-0.37,-2,-3.62
Liability / assets,0.79640573,0.62869678,0.68255425,0.64758904,0.67884876
equity / assets,0.20359427,0.37130322,0.31744575,0.35241096,0.32115124
Cash / asset,0.21409491,0.26469441,0.20914725,0.24885507,0.24344108
Current ratio,1.19350614,1.94846496,1.60715358,1.70056562,1.76700747
Inventory / sales,0.10517734,0.07233772,0.0546749,0.33647171,0.0855662
Net debt/EBITDA,1.11420395,-0.36024273,0.63803609,0.13112476,-1.68959821
A/P / Sales,0.20567016,0.16413884,0.13689197,0.30737099,0.17351779
A/R / Sales,0.2556262,0.30802816,0.30986465,0.24578474,0.28855277
ROE,-0.0004008,-0.00067445,-0.11553538,-0.49997903,-1.07044994
ROA,-0.0000816,-0.00025043,-0.03667622,-0.17619809,-0.34377633
Sales/total assets,1.05752159,1.10577326,1.26709373,0.6369009,0.65657537
Net income margin,-0.00007716,-0.00022647,-0.02894515,-0.27664914,-0.52359005
EBIT/Sale,0.02572121,0.07020585,-0.01855504,-0.24495263,-0.20514075
EBITDA/Sale,0.08586054,0.12057593,0.02784398,-0.14790381,-0.08632151
EBITDA/ Assets,0.09079938,0.13332964,0.03528094,-0.09420007,-0.05667658
Total debt/ EBITDA,3.47209346,1.62502032,6.56608859,-2.51064688,-5.98486607
WC/ Asset,0.10628406,0.36503296,0.28003985,0.26936355,0.22701752
Price to book ratio,3.64292645,3.2704546,1.48414425,2.41136335,1.6466465
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,0.4,-0.6,-0.72222222,3.35483871,1.48
market cap based on Jun's data,37.9558,19.6671,40.5238,129.2501,22.8324
90-days stock vol,0.99051,0.89737,0.96716,0.93228,1.76682
Trading volume,11.98080744,6.9596004,15.34460025,77.972301,3.181282
Total asset,2.1251,3.5761,4.5153,7.467,5.104
Diluted EPS,-0.03,-0.11,-0.17,-0.11,-0.1
Liability / assets,3.88249965,3.12371019,2.0852878,1.27226463,2.09012539
equity / assets,-2.88249965,-2.12368222,-1.0852878,-0.27239855,-1.08992947
Cash / asset,0.01232883,0.01742121,0.00225899,0.01165127,0.01057994
Current ratio,0.30337314,0.21099579,0.1453083,0.58993997,0.09411515
Inventory / sales,0,0,0,0.32046205,0.08909091
Net debt/EBITDA,-0.2724785,-0.2070106,-1.53580803,-1.83261803,-2.14976262
A/P / Sales,0.03076232,0.04203123,0.18079569,0.11320132,0.61772727
A/R / Sales,0.19733327,0.10442811,0.0990791,0.56237624,0.08636364
ROE,0.41687345,0.93458424,1.45575871,2.26597837,0.66942297
ROA,-1.20163757,-1.98475993,-1.57991717,-0.61724923,-0.72962382
Sales/total assets,1.88457014,1.67788932,0.60844241,0.40578546,0.43103448
Net income margin,-0.63761892,-1.18289086,-2.59665854,-1.52112211,-1.69272727
EBIT/Sale,-0.50310869,-1.03348166,-2.08637571,-1.40231023,-1.49363636
EBITDA/Sale,-0.25548703,-0.58955386,-1.37280239,-0.92277228,-1.05318182
EBITDA/ Assets,-0.48148322,-0.98920612,-0.83527119,-0.37444757,-0.45395768
Total debt/ EBITDA,-0.29808444,-0.22462191,-1.53851253,-1.86373391,-2.17306862
WC/ Asset,-1.09524258,-0.93744582,-0.83070892,-0.26530066,-0.8354232
Price to book ratio,-6.19625833,-2.5896504,-8.26948821,-63.54478859,-4.10433219
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.34080717,-0.06184266,-0.08927203,1.86184211,-0.13962264
market cap based on Jun's data,381.5679,573.2471,282.0929,244.3312,83.2291
90-days stock vol,0.33884,0.26452,0.41316,0.51948,0.62362
Trading volume,1033.362659,712.9583175,547.909874,258.886683,52.64776728
Total asset,1010.031,884.472,197.753,164.101,157.239
Diluted EPS,-0.48,0.26,0.53,0.54,0.4
Liability / assets,0.56491731,0.48037586,0.35433091,0.59126392,0.67616813
equity / assets,0.43508269,0.51962414,0.64566909,0.40873608,0.32383187
Cash / asset,0,0.02627443,0.0070138,0.03024357,0.03542378
Current ratio,1.07689042,1.16536567,2.17409276,1.29907895,0.9600776
Inventory / sales,0.13613354,0.12994394,0.04729646,0.05175395,0.05470034
Net debt/EBITDA,3.51785515,1.11819561,1.49143956,1.411193,2.8783101
A/P / Sales,0.16853061,0.21020249,0.07086619,0.13430331,0.172293
A/R / Sales,0.05613859,0.08496639,0.1348067,0.1255771,0.15162912
ROE,-0.05610688,0.02802262,0.09462497,0.14980469,0.14411124
ROA,-0.02441113,0.01456123,0.06109642,0.06123058,0.04666781
Sales/total assets,1.81049196,1.72696366,1.80348212,2.03005466,1.85001177
Net income margin,-0.01348315,0.00843169,0.03387692,0.03016204,0.02522568
EBIT/Sale,0.00983565,0.02524991,0.06055338,0.05290964,0.04512297
EBITDA/Sale,0.02454758,0.03840189,0.07582631,0.06516897,0.05647074
EBITDA/ Assets,0.04444319,0.06631866,0.1367514,0.13229657,0.10447154
Total debt/ EBITDA,3.51785515,1.51438021,1.54272825,1.63979733,3.21738601
WC/ Asset,0.0292298,0.06193865,0.20826991,0.11832957,-0.02237994
Price to book ratio,0.86829106,1.24729293,2.20932231,3.64271104,1.63453917
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.51638002,0.12069757,0.07498767,0.45827338,0.29906542
market cap based on Jun's data,374.5813,951.22,827.5711,670.187,445.5909
90-days stock vol,0.33305,0.49229,0.45868,0.3739,0.28315
Trading volume,1977.621737,5709.259248,3024.861652,1425.274915,549.73805
Total asset,814.856,1003.845,931.285,647.678,544.181
Diluted EPS,-2.32,-1.32,1.94,1.31,0.96
Liability / assets,0.87486133,0.6291559,0.5762919,0.51357156,0.51948892
equity / assets,0.12513867,0.3708441,0.4237081,0.48642844,0.48051108
Cash / asset,0.010878,0.00320169,0.00728993,0.14441899,0.19183323
Current ratio,0.51939898,0.77278125,0.97479592,1.97176935,2.37104013
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,2.32130151,1.61221805,1.0664076,0.31888918,0.32873581
A/P / Sales,0.03162609,0.10497656,0.07166578,0.07216558,0.06377801
A/R / Sales,0.11475767,0.16503631,0.19483837,0.20147625,0.15374201
ROE,-0.78410317,-0.13538561,0.1852415,0.14732946,0.12715835
ROA,-0.09812163,-0.05020695,0.07848833,0.07166524,0.06110099
Sales/total assets,0.55757091,0.4474655,0.431667,0.45474912,0.42210772
Net income margin,-0.17598054,-0.11220296,0.1818261,0.15759292,0.14475214
EBIT/Sale,0.07663424,-0.00786311,0.27475529,0.28991515,0.25283083
EBITDA/Sale,0.45098605,0.43329489,0.53258542,0.60347468,0.60949574
EBITDA/ Assets,0.2514567,0.19388451,0.22989955,0.27442958,0.25727286
Total debt/ EBITDA,2.36456142,1.62873144,1.09811679,0.84514071,1.07437698
WC/ Asset,-0.07552255,-0.04117369,-0.00397515,0.12378064,0.15381279
Price to book ratio,3.67344611,2.55518844,2.0972777,2.12724687,1.70407825
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,0.16309807,0.22521355,-0.53490868,-0.56294541,0.18472149
market cap based on Jun's data,355.1866,175.7997,141.6762,303.3405,550.5
90-days stock vol,0.5252,0.84837,0.8584,0.49684,0.35726
Trading volume,721.7564851,314.1478467,234.6405247,559.5057136,543.781445
Total asset,1805.9,1691.2,1799.2,2290.2,2296.6
Diluted EPS,-2.2415,-2.8873,-7.9931,-1.0993,-1.0264
Liability / assets,0.84893959,0.90592479,0.87188751,0.67906733,0.72585561
equity / assets,0.15106041,0.09407521,0.12811249,0.32093267,0.27414439
Cash / asset,0.08870923,0.02270577,0.02351045,0.01523884,0.02111817
Current ratio,1.30742939,1.32285259,1.52557814,1.51059635,1.556199
Inventory / sales,0.08421498,0.09617097,0.08203424,0.09592887,0.13851895
Net debt/EBITDA,2.83008181,4.40591398,4.15485075,3.07455268,4.81452145
A/P / Sales,0.17491889,0.21393589,0.17664196,0.18469818,0.25932972
A/R / Sales,0.14369681,0.14386687,0.11065679,0.10613009,0.23737743
ROE,-0.71260997,-1.04902577,-1.98481562,-0.0847619,-0.07385642
ROA,-0.10764716,-0.09868732,-0.25427968,-0.02720286,-0.02024732
Sales/total assets,1.17763996,1.06244087,1.08742775,0.93310628,0.59505356
Net income margin,-0.09140923,-0.09288736,-0.23383593,-0.02915302,-0.03402605
EBIT/Sale,0.02200592,0.02075913,0.01318681,0.01357043,0.02956242
EBITDA/Sale,0.0747167,0.08281389,0.08218758,0.09415068,0.11085907
EBITDA/ Assets,0.08798937,0.08798486,0.08937305,0.08785259,0.06596708
Total debt/ EBITDA,3.83826306,4.66397849,4.41791045,3.24801193,5.13465347
WC/ Asset,0.09463425,0.08378666,0.12505558,0.09047245,0.09200557
Price to book ratio,1.30200367,1.10496354,0.61464729,0.41270816,0.87436468
real GDP growth,-0.0013658,0.01876176,0.02854972,0.03513208,0.03798898
Inflation,0.038391,0.02852673,0.03225944,0.03392747,0.02677237
Unemployment,0.05775,0.04616667,0.04616667,0.05066667,0.05533333
10-year risk free,0.03666667,0.04629167,0.04791667,0.0429,0.04274167
YoY % in stock price,-0.80727273,-0.2835249,-0.64538043,-0.18312986,4.81290323
market cap based on Jun's data,26.353,126.1323,141.4038,348.2634,219.6638
90-days stock vol,0.93578,0.52404,0.47879,0.86011,1.18248
Trading volume,65.08740207,311.4676002,383.6670872,3783.002022,1483.157418
Total asset,98.351,119.253,98.081,176.024,43.849
Diluted EPS,-0.47,-0.74,-1.95,-1.21,-1.38
Liability / assets,0.57800124,0.47696913,0.24047471,0.10514475,0.25145385
equity / assets,0.42199876,0.52303087,0.75952529,0.89485525,0.74854615
Cash / asset,0.07377658,0.21118127,0.3301251,0.29503931,0.66396041
Current ratio,0.99290888,1.79679289,4.58508287,4.61641083,6.12738748
Inventory / sales,0.05937197,0.28642187,0.296875,0.32452549,0.71115746
Net debt/EBITDA,-0.12335643,0.31674618,0.69392994,1.56129032,1.10529875
A/P / Sales,0.12374617,0.12863101,0.61607143,1.84648307,0.04319976
A/R / Sales,0.38815703,0.4308059,0.17067921,0.37644213,0.21078504
ROE,-0.81787298,-0.74923444,-1.29530841,-0.24700348,-0.93215124
ROA,-0.34514138,-0.39187274,-0.9838195,-0.22103236,-0.69775822
Sales/total assets,0.38823194,0.22516834,0.12789429,0.03052993,0.15309357
Net income margin,-0.8890082,-1.74035454,-7.6924426,-7.23985858,-4.55772382
EBIT/Sale,-1.40761595,-1.80593624,-3.12149235,-6.81373279,-4.4080143
EBITDA/Sale,-1.2209884,-1.56115001,-2.73301977,-5.99925568,-3.74467451
EBITDA/ Assets,-0.4740267,-0.35152156,-0.34953763,-0.18315684,-0.57328559
Total debt/ EBITDA,-0.27899444,-0.28401718,-0.25053233,-0.04956576,-0.05286817
WC/ Asset,-0.00190135,0.17291808,0.33079801,0.25564128,0.70405254
Price to book ratio,0.63495085,2.02222596,1.89816498,2.21097158,6.69237425
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.09595202,1.06501548,0.0221519,0.03606557,1.04697987
market cap based on Jun's data,412.001,441.6554,186.517,176.7963,135.0723
90-days stock vol,0.57454,0.47382,0.752,0.37806,0.51678
Trading volume,1348.169057,1466.225867,344.083909,199.6607827,124.9908178
Total asset,354.607,143.801,109.536,114.237,84.207
Diluted EPS,0.03,0.23,0.48,0.11,0.002
Liability / assets,0.50729681,0.14011725,0.23969289,0.42503742,0.48951987
equity / assets,0.49270319,0.85988275,0.76030711,0.57496258,0.51047775
Cash / asset,0.02772365,0.02699564,0.05553425,0.02729413,0.07340245
Current ratio,0.599182,1.14128611,0.7036074,0.7022136,0.8346132
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,1.84283563,-0.03480751,-0.27281676,1.69253741,2.09788544
A/P / Sales,0.1210637,0.11011012,0.149381,0.17909414,0.20702997
A/R / Sales,0.14710119,0.08029237,0.09721787,0.12555642,0.1080794
ROE,0.00766959,0.05855951,0.16499562,0.04258397,0.00093054
ROA,0.00377883,0.05035431,0.12544734,0.02448419,0.00047502
Sales/total assets,0.2642672,0.50328579,0.61133326,0.50539668,0.46961654
Net income margin,0.01429928,0.10005112,0.20520287,0.04844548,0.00101151
EBIT/Sale,0.132215,0.16937256,0.1304601,0.10196588,0.03654065
EBITDA/Sale,0.52444217,0.50176171,0.31857892,0.27259894,0.25472247
EBITDA/ Assets,0.13859286,0.25252954,0.19475789,0.1377706,0.11962188
Total debt/ EBITDA,2.04287226,0.07209341,0.01232832,1.89065032,2.71150601
WC/ Asset,-0.0674324,0.01581352,-0.06555836,-0.04839938,-0.02762241
Price to book ratio,2.35811832,3.57176107,2.23961048,2.69170092,3.14225395
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.18977865,0.58187436,-0.51522716,-0.24981273,0.44872491
market cap based on Jun's data,14087.5911,17375.5725,10982.138,22626.9267,29944.0989
90-days stock vol,0.50423,0.30926,0.47629,0.21177,0.22008
Trading volume,91398.2857,94564.58957,53055.39339,51758.76186,74537.52086
Total asset,148883,186304,474156,482347,449999
Diluted EPS,-68.45,-3.5,-18.42,4.97,7.24
Liability / assets,1.23830793,1.0239501,0.96688853,0.94245429,0.94316654
equity / assets,-0.23830793,-0.0239501,0.03311147,0.05754571,0.05683346
Cash / asset,0.18249901,0.13123175,0.1064038,0.11968562,0.12170916
Current ratio,0.86181012,0.98182606,1.5975784,0.64627231,0.98393022
Inventory / sales,0.08300182,0.06770881,0.07121317,0.06054765,0.05897641
Net debt/EBITDA,3.29900077,4.68629,-118.1000498,13.49685711,11.72014885
A/P / Sales,0.16373122,0.13192056,0.15480209,0.14897916,0.1367973
A/R / Sales,0.05366588,0.0399609,0.03039737,0.03468946,0.0289501
ROE,1.09165727,0.44329897,-0.66350318,0.10101956,0.14944282
ROA,-0.26015059,-0.01061706,-0.02196956,0.00581324,0.00849335
Sales/total assets,1.20889558,1.10357802,0.41052945,0.40119872,0.41297203
Net income margin,-0.21519691,-0.00962058,-0.05351519,0.01448968,0.02056641
EBIT/Sale,-0.02394102,-0.02832185,-0.09147466,0.01894407,0.02561923
EBITDA/Sale,0.02891368,0.0246205,-0.01032082,0.0920746,0.09833349
EBITDA/ Assets,0.03495362,0.02717065,-0.004237,0.03694021,0.04060898
Total debt/ EBITDA,8.52017679,9.51619913,-143.2130413,16.73683915,14.71724855
WC/ Asset,-0.06528616,-0.00652697,0.10762703,-0.09866963,-0.00394668
Price to book ratio,-0.39705725,-3.89412203,0.69949924,0.81517912,1.17083476
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.61804697,-0.06904488,-0.48335315,0.21884058,0.4556962
market cap based on Jun's data,91.0444,235.2734,250.1807,479.2237,388.4383
90-days stock vol,0.72642,0.73042,0.49858,0.35841,0.36372
Trading volume,141.4454391,273.0729342,281.6632954,555.6918601,262.6873746
Total asset,572.02,624.275,859.132,959.705,960.545
Diluted EPS,-0.86,1.66,-3.59,-0.14,-0.97
Liability / assets,0.75556974,0.74116215,0.8738308,0.77362627,0.77056671
equity / assets,0.24443026,0.25883785,0.1261692,0.22637373,0.22943329
Cash / asset,0.01144715,0.0016371,0.11075364,0.09352457,0.08906506
Current ratio,1.54810459,1.62425548,2.52692032,2.16361643,2.29668634
Inventory / sales,0.07657521,0.080426,0.07333286,0.10217502,0.08829493
Net debt/EBITDA,11.80378353,8.78935053,12.97147416,6.86658093,11.15786838
A/P / Sales,0.07488478,0.06969982,0.08062491,0.09740845,0.07560118
A/R / Sales,0.08687117,0.09171808,0.09410735,0.11778057,0.09462821
ROE,-0.17534098,0.29292142,-0.95378058,-0.01831514,-0.12267391
ROA,-0.04285864,0.07581915,-0.12033774,-0.00414607,-0.02814548
Sales/total assets,1.49333765,1.49460414,1.12628676,0.90807592,1.03297607
Net income margin,-0.0286999,0.05072858,-0.10684467,-0.00456577,-0.02724698
EBIT/Sale,0.00379996,0.00982162,0.00229013,0.03506888,0.00901111
EBITDA/Sale,0.02710429,0.03572715,0.03173634,0.069595,0.04024511
EBITDA/ Assets,0.04047586,0.05339794,0.03574422,0.06319755,0.04157223
Total debt/ EBITDA,12.08659785,8.820009,16.06997948,8.3464576,13.30028549
WC/ Asset,0.09857872,0.11047055,0.28764963,0.17032942,0.16882187
Price to book ratio,0.651159,1.45602589,2.3080252,2.20584252,1.76257617
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.61259542,-0.32036316,0.43575419,-0.28590426,0.31698774
market cap based on Jun's data,192.2201,494.5758,717.8511,499.6328,696.4761
90-days stock vol,0.64579,0.41065,0.3049,0.54759,0.39001
Trading volume,894.9875957,2236.06782,2468.201529,1174.62306,1105.104984
Total asset,2945.319,3187.616,3493.1189,3642.227,4682.771
Diluted EPS,-2.9,-3.48,-1.43,-5.23,-0.9
Liability / assets,0.94474962,0.77706471,0.70403074,0.75647427,0.69529943
equity / assets,0.05525038,0.22293526,0.29596931,0.24352573,0.30470057
Cash / asset,0.00963834,0.00762168,0.02334132,0.01889146,0.02096814
Current ratio,0.55403963,0.45595547,0.73361705,0.98658962,1.07509092
Inventory / sales,0.02715319,0.02445475,0.02563408,0.02682106,0.02259492
Net debt/EBITDA,11.68186146,10.58487086,6.57344579,7.8504726,7.64906816
A/P / Sales,0.04403265,0.03174168,0.02854135,0.02487925,0.0274202
A/R / Sales,0.02730873,0.04318971,0.0470853,0.02162299,0.02654478
ROE,-1.55569963,-0.43006507,-0.10730508,-0.52403785,-0.04325143
ROA,-0.085953,-0.09587667,-0.03175901,-0.1276167,-0.01317874
Sales/total assets,0.32961625,0.29666842,0.31195102,0.28490591,0.2239364
Net income margin,-0.26076687,-0.32317787,-0.10180768,-0.44792578,-0.05885035
EBIT/Sale,0.07971262,0.08155319,0.16825734,0.14414007,0.1799688
EBITDA/Sale,0.22176293,0.22144946,0.30166599,0.29006198,0.31867474
EBITDA/ Assets,0.07309667,0.06569706,0.09410501,0.08264037,0.07136287
Total debt/ EBITDA,11.81371898,10.7008834,6.82148059,8.07907108,7.94289237
WC/ Asset,-0.03290543,-0.04973811,-0.02078601,-0.0010845,0.00743876
Price to book ratio,1.18122104,0.69596613,0.69434341,0.56329912,0.48812385
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.77602268,-0.27605923,0.78140507,1.46555055,0.08601399
market cap based on Jun's data,162.4543,717.0198,979.9526,525.2775,206.9217
90-days stock vol,0.73336,0.39185,0.58666,0.50688,0.38416
Trading volume,892.3858715,6254.298192,5951.406467,1140.046001,193.1164818
Total asset,874.844,1328.911,1150.525,743.044,604.199
Diluted EPS,-10.86,3.57,4.61,2,0.75
Liability / assets,0.7001374,0.56372549,0.57926425,0.55049365,0.55006546
equity / assets,0.2998626,0.43627451,0.42073575,0.44950635,0.45474256
Cash / asset,0.07139444,0.05915295,0.02931097,0.02922034,0.03228407
Current ratio,2.34457989,1.75028352,1.92278199,2.5094467,2.74859925
Inventory / sales,0.07193564,0.05865668,0.07705964,0.08158057,0.08463964
Net debt/EBITDA,5.25559749,1.18136654,0.95871793,1.40702649,2.87140819
A/P / Sales,0.03534714,0.03463995,0.05034991,0.07866238,0.07707534
A/R / Sales,0.09607526,0.08735737,0.12483071,0.11385374,0.13270723
ROE,-1.19204599,0.17605947,0.26753941,0.16140574,0.07253735
ROA,-0.35745001,0.07681026,0.11256339,0.0725529,0.03298582
Sales/total assets,2.49081322,2.41044517,2.53115743,2.81413335,2.34205932
Net income margin,-0.14350735,0.03186559,0.04447112,0.02578162,0.01408411
EBIT/Sale,0.00266031,0.05950956,0.08154497,0.05278847,0.02790746
EBITDA/Sale,0.02504643,0.07364637,0.09118284,0.06393707,0.04259578
EBITDA/ Assets,0.06238598,0.17752054,0.23079811,0.17992743,0.09976183
Total debt/ EBITDA,6.39999634,1.51458401,1.08571622,1.5694272,3.19501958
WC/ Asset,0.30083078,0.18270599,0.26462615,0.36395826,0.35898437
Price to book ratio,0.6192675,1.23673146,2.02441522,1.572673,0.7531135
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.06332543,0.03759663,-0.5335191,-0.00521767,0.84284856
market cap based on Jun's data,2132.4201,1989.6547,1911.6297,4107.7787,4150.1827
90-days stock vol,0.53157,0.46149,0.29282,0.20796,0.23074
Trading volume,8595.686297,16219.28458,10283.42334,8758.302752,10751.61511
Total asset,7800.3999,7850.5,8288.4004,9944.4004,8571
Diluted EPS,3.14,-10.31,-20.57,6.18,5.71
Liability / assets,0.86017385,0.923317,0.86595724,0.72546354,0.73661184
equity / assets,0.13982616,0.07668303,0.13404275,0.27453641,0.26338817
Cash / asset,0.07708579,0.06403414,0.02504705,0.05881702,0.01975265
Current ratio,1.03166017,1.00077174,0.9366157,0.94063988,0.94229636
Inventory / sales,0.03785558,0.0325973,0.04027105,0.03662736,0.03494065
Net debt/EBITDA,2.1285174,2.96598336,4.14655192,1.73582555,1.74401608
A/P / Sales,0.14153173,0.1299071,0.17516912,0.16377359,0.15521348
A/R / Sales,0.13426696,0.11250133,0.13678816,0.15241155,0.13973086
ROE,0.22141744,-1.17524897,-1.24347435,0.15464635,0.16854928
ROA,0.03095995,-0.09012165,-0.16667872,0.04245605,0.04439389
Sales/total assets,2.0505359,2.27232665,2.06182114,1.70548241,1.83720688
Net income margin,0.01509847,-0.03966052,-0.08084053,0.02489387,0.02416379
EBIT/Sale,0.03587371,0.01575209,0.00616764,0.0453066,0.04907695
EBITDA/Sale,0.05443576,0.03773775,0.02918803,0.0662441,0.06951298
EBITDA/ Assets,0.11162248,0.0857525,0.06018049,0.11297815,0.12770972
Total debt/ EBITDA,2.81911117,3.71271539,4.5627508,2.2564308,1.89868445
WC/ Asset,0.01462747,0.00038214,-0.03140537,-0.02774425,-0.02411623
Price to book ratio,1.95509315,3.3050737,1.72063879,1.50462573,1.83839765
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.37643678,-0.2611465,0.29041096,1.37012987,-0.8957346
market cap based on Jun's data,57.4312,76.4243,101.8726,78.84,32.705
90-days stock vol,0.4253,0.523,0.62383,0.89511,1.38248
Trading volume,30.92884074,94.4971032,203.5709383,343.3581061,65.19905238
Total asset,65.834,61.846,96.179,110.672,173.18
Diluted EPS,-0.71,-1.53,-0.3,-2.76,-3.49
Liability / assets,0.76451378,0.46347379,0.53563668,0.54582008,0.37611156
equity / assets,0.23548622,0.53652621,0.46436332,0.45417992,0.62388844
Cash / asset,0.46766109,0.27961388,0.32955219,0.28807648,0.33580668
Current ratio,2.53785171,2.76137827,5.14076403,3.59208878,4.78784919
Inventory / sales,0.26629168,0.43750705,0.24063552,0.31985678,0.46643914
Net debt/EBITDA,-0.23473678,0.69036432,-0.43967391,-0.03767891,0.39069927
A/P / Sales,0.13340355,0.22025408,0.09796203,0.15164454,0.07114728
A/R / Sales,0.22035228,0.27580838,0.13808647,0.26750728,0.2065809
ROE,-1.21157195,-1.02555602,-0.14267162,-1.17322192,-0.68148457
ROA,-0.2853085,-0.55023769,-0.06625147,-0.53285384,-0.42517034
Sales/total assets,0.67782605,0.71657019,0.65507023,0.40630873,0.32991685
Net income margin,-0.420917,-0.76787689,-0.10113644,-1.31145062,-1.2887197
EBIT/Sale,-0.40747132,-0.34659386,-0.16770364,-1.22587675,-1.29439048
EBITDA/Sale,-0.35713966,-0.29295756,-0.08761348,-1.03168991,-1.11931391
EBITDA/ Assets,-0.24207856,-0.20992465,-0.05739299,-0.41918462,-0.36928052
Total debt/ EBITDA,-2.16659346,-0.64160826,-6.1817029,-0.72490947,-0.51865462
WC/ Asset,0.5097518,0.53064062,0.72578214,0.39256542,0.44785772
Price to book ratio,3.70452171,2.30318546,2.28096816,1.56848702,0.30269795
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.73320158,-0.72136564,-0.37808219,0.16613419,0.99363057
market cap based on Jun's data,18.7271,68.5741,174.8302,275.3096,98.3828
90-days stock vol,0.84636,0.75752,0.61554,0.62612,0.61534
Trading volume,52.72408665,130.6372837,322.033895,675.7987556,149.9406718
